Date,Time,Level
2023-11-16,21:43:42,6.7
2023-11-16,21:43:52,6.7
2023-11-16,21:44:02,6.7
2023-11-16,21:44:12,6.7
2023-11-16,21:44:23,6.7
2023-11-16,21:44:33,6.7
2023-11-16,21:44:43,6.7
2023-11-16,21:44:53,6.7
2023-11-16,21:45:03,6.8
2023-11-16,21:45:14,6.8
2023-11-16,21:45:24,6.8
2023-11-16,21:45:34,6.8
2023-11-16,21:45:44,6.8
2023-11-16,21:45:54,6.8
2023-11-16,21:46:04,6.8
2023-11-16,21:46:15,6.8
2023-11-16,21:46:26,6.8
2023-11-16,21:46:36,6.8
2023-11-16,21:46:46,6.8
2023-11-16,21:46:56,6.8
2023-11-16,21:47:06,6.8
2023-11-16,21:47:17,6.8
2023-11-16,21:47:27,6.8
2023-11-16,21:47:37,6.8
2023-11-16,21:47:48,6.8
2023-11-16,21:47:58,6.8
2023-11-16,21:48:08,6.8
2023-11-16,21:48:19,6.8
2023-11-16,21:48:29,6.8
2023-11-16,21:48:39,6.8
2023-11-16,21:48:50,6.8
2023-11-16,21:49:00,6.8
2023-11-16,21:49:11,6.8
2023-11-16,21:49:21,6.8
2023-11-16,21:49:31,6.8
2023-11-16,21:49:42,6.8
2023-11-16,21:49:52,6.8
2023-11-16,21:50:03,6.8
2023-11-16,21:50:13,6.8
2023-11-16,21:50:23,6.8
2023-11-16,21:50:33,6.9
2023-11-16,21:50:44,6.9
2023-11-16,21:50:54,6.8
2023-11-16,21:51:04,6.9
2023-11-16,21:51:15,6.9
2023-11-16,21:51:25,6.9
2023-11-16,21:51:35,6.8
2023-11-16,21:51:45,6.9
2023-11-16,21:51:56,6.9
2023-11-16,21:52:06,6.9
2023-11-16,21:52:16,6.9
2023-11-16,21:52:27,6.9
2023-11-16,21:52:37,6.9
2023-11-16,21:52:47,6.9
2023-11-16,21:52:58,6.9
2023-11-16,21:53:08,6.9
2023-11-16,21:53:18,6.9
2023-11-16,21:53:29,6.9
2023-11-16,21:53:39,6.9
2023-11-16,21:53:50,6.9
2023-11-16,21:54:00,6.9
2023-11-16,21:54:10,6.9
2023-11-16,21:54:21,6.9
2023-11-16,21:54:31,6.9
2023-11-16,21:54:41,6.9
2023-11-16,21:54:52,6.9
2023-11-16,21:55:02,6.9
2023-11-16,21:55:12,6.9
2023-11-16,21:55:23,6.9
2023-11-16,21:55:33,6.9
2023-11-16,21:55:43,6.9
2023-11-16,21:55:54,6.9
2023-11-16,21:56:04,6.9
2023-11-16,21:56:15,6.9
2023-11-16,21:56:25,6.9
2023-11-16,21:56:35,7.0
2023-11-16,21:56:45,7.0
2023-11-16,21:56:55,6.9
2023-11-16,21:57:06,7.0
2023-11-16,21:57:16,7.0
2023-11-16,21:57:26,7.0
2023-11-16,21:57:36,7.0
2023-11-16,21:57:47,7.0
2023-11-16,21:57:57,7.0
2023-11-16,21:58:08,7.0
2023-11-16,21:58:18,7.0
2023-11-16,21:58:29,7.0
2023-11-16,21:58:40,7.0
2023-11-16,21:58:51,7.0
2023-11-16,21:59:02,7.0
2023-11-16,21:59:12,7.0
2023-11-16,21:59:22,7.0
2023-11-16,21:59:32,7.0
2023-11-16,21:59:43,7.0
2023-11-16,21:59:53,7.0
2023-11-16,22:04:32,7.1
2023-11-16,22:04:42,7.1
2023-11-16,22:04:52,7.1
2023-11-16,22:05:03,7.1
2023-11-16,22:14:06,19.9
2023-11-16,22:14:16,19.9
2023-11-16,22:14:26,19.9
2023-11-16,22:14:37,19.9
2023-11-16,22:14:47,19.9
2023-11-16,22:14:57,19.9
2023-11-16,22:15:07,19.9
2023-11-16,22:15:18,19.9
2023-11-16,22:15:28,19.9
2023-11-16,22:15:38,19.9
2023-11-16,22:15:48,19.9
2023-11-16,22:15:58,19.9
2023-11-16,22:16:09,19.9
2023-11-16,22:16:19,19.9
2023-11-16,22:16:29,19.9
2023-11-16,22:16:39,19.9
2023-11-16,22:16:49,19.9
2023-11-16,22:17:00,19.9
2023-11-16,22:17:10,19.9
2023-11-16,22:17:21,19.9
