Date,Time,Level
2023-11-15,00:00:03,2.5
2023-11-15,00:00:14,2.2
2023-11-15,00:00:24,1.9
2023-11-15,00:00:34,2.5
2023-11-15,00:00:45,2.3
2023-11-15,00:00:55,1.9
2023-11-15,00:01:05,2.1
2023-11-15,00:01:16,2.3
2023-11-15,00:01:26,2.2
2023-11-15,00:01:36,2.2
2023-11-15,00:01:46,2.5
2023-11-15,00:01:57,2.4
2023-11-15,00:02:07,2.2
2023-11-15,00:02:17,1.9
2023-11-15,00:02:28,2.1
2023-11-15,00:02:38,2.1
2023-11-15,00:02:48,2.3
2023-11-15,00:02:58,1.9
2023-11-15,00:03:09,1.8
2023-11-15,00:03:19,1.9
2023-11-15,00:03:29,2.2
2023-11-15,00:03:39,2.6
2023-11-15,00:03:50,2.3
2023-11-15,00:04:00,2.5
2023-11-15,00:04:10,2.4
2023-11-15,00:04:21,2.7
2023-11-15,00:04:31,1.8
2023-11-15,00:04:41,2.4
2023-11-15,00:04:51,2.5
2023-11-15,00:05:02,1.7
2023-11-15,00:05:12,2.6
2023-11-15,00:05:22,2.2
2023-11-15,00:05:33,2.2
2023-11-15,00:05:43,2.4
2023-11-15,00:05:53,2.5
2023-11-15,00:06:03,2.5
2023-11-15,00:06:14,1.8
2023-11-15,00:06:24,1.7
2023-11-15,00:06:34,2.4
2023-11-15,00:06:45,2.4
2023-11-15,00:06:55,2.7
2023-11-15,00:07:05,2.2
2023-11-15,00:07:15,2.3
2023-11-15,00:07:26,2.3
2023-11-15,00:07:36,2.5
2023-11-15,00:07:46,1.8
2023-11-15,00:07:57,2.4
2023-11-15,00:08:07,2.2
2023-11-15,00:08:17,2.2
2023-11-15,00:08:27,1.8
2023-11-15,00:08:38,2.4
2023-11-15,00:08:48,2.4
2023-11-15,00:08:58,2.6
2023-11-15,00:09:09,2.4
2023-11-15,00:09:19,2.3
2023-11-15,00:09:29,2.2
2023-11-15,00:09:39,2.5
2023-11-15,00:09:50,1.7
2023-11-15,00:10:00,2.3
2023-11-15,00:10:11,2.3
2023-11-15,00:10:21,2.4
2023-11-15,00:10:33,2.3
2023-11-15,00:10:43,2.0
2023-11-15,00:10:54,2.4
2023-11-15,00:11:04,2.1
2023-11-15,00:11:15,2.0
2023-11-15,00:11:25,2.5
2023-11-15,00:11:35,2.4
2023-11-15,00:11:46,2.6
2023-11-15,00:11:56,2.5
2023-11-15,00:12:06,2.1
2023-11-15,00:12:17,2.6
2023-11-15,00:12:27,2.3
2023-11-15,00:12:38,2.4
2023-11-15,00:12:48,2.5
2023-11-15,00:12:59,2.3
2023-11-15,00:13:09,2.5
2023-11-15,00:13:20,2.4
2023-11-15,00:13:30,2.6
2023-11-15,00:13:40,2.1
2023-11-15,00:13:51,2.4
2023-11-15,00:14:01,2.3
2023-11-15,00:14:11,2.2
2023-11-15,00:14:21,2.2
2023-11-15,00:14:32,2.5
2023-11-15,00:14:42,2.5
2023-11-15,00:14:52,2.3
