Date,Time,Level
2023-11-12,10:52:16,3.7
2023-11-12,10:52:26,3.7
2023-11-12,10:52:36,3.7
2023-11-12,10:52:46,3.7
2023-11-12,10:52:56,3.7
2023-11-12,10:53:06,3.7
2023-11-12,10:53:16,3.7
2023-11-12,10:53:26,3.7
2023-11-12,10:53:37,3.7
2023-11-12,10:53:47,3.7
2023-11-12,10:53:57,3.7
2023-11-12,10:54:07,3.7
2023-11-12,10:54:17,3.7
2023-11-12,10:54:27,3.7
2023-11-12,10:54:37,3.7
2023-11-12,10:54:47,3.7
2023-11-12,10:54:57,3.7
2023-11-12,10:55:07,3.7
2023-11-12,10:55:17,3.7
2023-11-12,10:55:27,3.7
2023-11-12,10:55:37,3.7
2023-11-12,10:55:47,3.7
2023-11-12,10:55:57,3.7
2023-11-12,10:56:07,3.7
2023-11-12,10:56:17,3.7
2023-11-12,10:56:27,3.7
2023-11-12,10:56:37,3.7
2023-11-12,10:56:48,3.6
2023-11-12,10:56:58,3.7
2023-11-12,10:57:08,3.6
2023-11-12,10:57:18,3.6
2023-11-12,10:57:28,3.6
2023-11-12,10:57:38,3.6
2023-11-12,10:57:48,3.6
2023-11-12,10:57:58,3.6
2023-11-12,10:58:08,3.6
2023-11-12,10:58:18,3.6
2023-11-12,10:58:28,3.6
2023-11-12,10:58:38,3.6
2023-11-12,10:58:48,3.6
2023-11-12,10:58:58,3.6
2023-11-12,10:59:08,3.6
2023-11-12,10:59:18,3.6
2023-11-12,10:59:28,3.6
2023-11-12,10:59:38,3.6
2023-11-12,10:59:48,3.6
2023-11-12,10:59:58,3.6
2023-11-12,11:00:09,3.6
2023-11-12,11:00:19,3.6
2023-11-12,11:00:29,3.6
2023-11-12,11:00:39,3.6
2023-11-12,11:00:49,3.6
2023-11-12,11:00:59,3.6
2023-11-12,11:01:09,3.6
2023-11-12,11:01:19,3.6
2023-11-12,11:01:29,3.6
2023-11-12,11:01:39,3.6
2023-11-12,11:01:49,3.6
2023-11-12,11:01:59,3.6
2023-11-12,11:02:09,3.6
2023-11-12,11:02:19,3.5
2023-11-12,11:02:29,3.6
2023-11-12,11:02:39,3.6
2023-11-12,11:02:49,3.5
2023-11-12,11:02:59,3.5
2023-11-12,11:03:09,3.5
2023-11-12,11:03:19,3.5
2023-11-12,11:03:29,3.5
2023-11-12,11:03:39,3.5
2023-11-12,11:03:49,3.5
2023-11-12,11:04:00,3.5
2023-11-12,11:04:10,3.5
2023-11-12,11:04:20,3.5
2023-11-12,11:04:30,3.5
2023-11-12,11:04:40,3.5
2023-11-12,11:04:50,3.5
2023-11-12,11:05:00,3.5
2023-11-12,11:05:10,3.5
2023-11-12,11:05:20,3.5
2023-11-12,11:05:30,3.5
2023-11-12,11:05:40,3.5
2023-11-12,11:05:50,3.5
2023-11-12,11:06:00,3.5
2023-11-12,11:06:10,3.5
2023-11-12,11:06:20,3.5
2023-11-12,11:06:30,3.5
2023-11-12,11:06:40,3.5
2023-11-12,11:06:50,3.5
2023-11-12,11:07:00,3.5
2023-11-12,11:07:10,3.5
2023-11-12,11:07:20,3.5
2023-11-12,11:07:31,3.5
2023-11-12,11:07:41,3.5
2023-11-12,11:07:51,3.5
2023-11-12,11:08:01,3.5
2023-11-12,11:08:11,3.5
2023-11-12,11:08:21,3.4
2023-11-12,11:08:31,3.4
2023-11-12,11:08:41,3.4
2023-11-12,11:08:51,3.4
2023-11-12,11:09:01,3.4
2023-11-12,11:09:12,3.4
2023-11-12,11:09:22,3.4
2023-11-12,11:09:32,3.4
2023-11-12,11:09:42,3.4
2023-11-12,11:09:52,3.4
2023-11-12,11:10:02,3.4
2023-11-12,11:10:12,3.4
2023-11-12,11:10:22,3.4
2023-11-12,11:10:33,3.4
2023-11-12,11:10:44,3.4
2023-11-12,11:10:54,3.4
2023-11-12,11:11:04,3.4
2023-11-12,11:11:14,3.4
2023-11-12,11:11:24,3.4
2023-11-12,11:11:34,3.4
2023-11-12,11:11:44,3.4
2023-11-12,11:11:54,3.4
2023-11-12,11:12:04,3.4
2023-11-12,11:12:14,3.4
2023-11-12,11:12:24,3.4
2023-11-12,11:12:34,3.4
2023-11-12,11:12:44,3.4
2023-11-12,11:12:54,3.4
2023-11-12,11:13:04,3.4
2023-11-12,11:13:14,3.4
2023-11-12,11:13:24,3.3
2023-11-12,11:13:35,3.3
2023-11-12,11:13:45,3.3
2023-11-12,11:14:04,3.3
2023-11-12,11:14:14,3.3
2023-11-12,11:14:24,3.3
2023-11-12,11:14:34,3.3
2023-11-12,11:14:44,3.3
2023-11-12,11:14:54,3.3
2023-11-12,11:15:04,3.3
2023-11-12,11:15:14,3.3
2023-11-12,11:15:24,3.3
2023-11-12,11:15:34,3.3
2023-11-12,11:15:44,3.3
2023-11-12,11:15:54,3.3
2023-11-12,11:16:04,3.3
2023-11-12,11:16:14,3.3
2023-11-12,11:16:24,3.3
2023-11-12,11:16:34,3.3
2023-11-12,11:16:44,3.3
2023-11-12,11:16:54,3.3
2023-11-12,11:17:04,3.3
2023-11-12,11:17:14,3.3
2023-11-12,11:17:24,3.3
2023-11-12,11:17:34,3.3
