Date,Time,Level
2023-11-05,12:13:11,b'9\xa4\xde@'
2023-11-05,12:13:18,b'\x9c\x89\xb6@'
2023-11-05,12:13:28,b'\x1b8\x9cA'
2023-11-05,12:13:38,b'\x08\xea\x9eA'
2023-11-05,12:13:48,b'\x08\xea\x9eA'
2023-11-05,12:13:58,b'Q\xe4\x9eA'
2023-11-05,12:14:08,b'\x07\xf2\x9eA'
2023-11-05,12:14:18,b'\xe2\xf0\x9eA'
2023-11-05,12:14:29,b'\xd8Q\xbd@'
2023-11-05,12:14:39,b'\x9a\xe6\x9eA'
2023-11-05,12:14:51,b'\x08\xea\x9eA'
2023-11-05,12:15:09,b'-\xeb\x9eA'
2023-11-05,12:15:19,b'v\xe5\x9eA'
2023-11-05,12:15:29,b'\x9a\xe6\x9eA'
2023-11-05,12:15:39,b'\xa6\xe3.@'
2023-11-05,12:15:49,b'^\xd1.@'
2023-11-05,12:15:59,b'\xf6\xb5.@'
2023-11-05,12:16:10,b'\x8b\x9a.@'
2023-11-05,12:16:20,b'\xff\x0f9@'
2023-11-05,12:16:30,b'\x94\xf48@'
2023-11-05,12:16:40,b'r\xf49@'
2023-11-05,12:16:50,b'r\xeb8@'
2023-11-05,12:17:00,b'\xff\x0f9@'
2023-11-05,12:17:10,b'\x94\xf48@'
2023-11-05,12:17:20,b'\xc1\xc69@'
2023-11-05,12:17:30,b'\xe4\xcf9@'
2023-11-05,12:17:40,b'\xdc\x069@'
2023-11-05,12:17:50,b'\x8b+8@'
2023-11-05,12:18:00,b'\x8b+8@'
2023-11-05,12:18:11,"b'E""9@'"
2023-11-05,12:18:22,b'\x8b+8@'
2023-11-05,12:19:11,19.9
2023-11-05,12:19:21,2.9
2023-11-05,12:19:31,19.9
2023-11-05,12:19:41,18.0
2023-11-05,12:19:51,17.9
2023-11-05,12:20:02,18.0
2023-11-05,12:20:12,19.9
2023-11-05,12:20:22,3.0
2023-11-05,12:20:32,17.9
2023-11-05,12:20:42,19.9
2023-11-05,12:20:52,2.9
2023-11-05,12:21:02,17.9
2023-11-05,12:21:12,17.9
2023-11-05,12:21:22,17.9
2023-11-05,12:21:33,17.9
2023-11-05,12:21:43,17.9
2023-11-05,12:21:53,3.0
2023-11-05,12:22:03,19.9
2023-11-05,12:22:13,3.0
2023-11-05,12:22:23,17.9
2023-11-05,12:22:33,17.9
2023-11-05,12:22:43,3.0
2023-11-05,12:22:53,17.9
2023-11-05,12:23:03,19.9
2023-11-05,12:23:14,17.9
2023-11-05,12:23:24,19.9
2023-11-05,12:23:34,17.9
2023-11-05,12:23:44,17.9
2023-11-05,12:23:54,17.9
2023-11-05,12:24:04,17.9
2023-11-05,12:24:14,17.9
2023-11-05,12:24:24,17.9
2023-11-05,12:24:35,2.9
2023-11-05,12:24:45,17.9
2023-11-05,12:24:55,17.9
2023-11-05,12:25:05,19.9
2023-11-05,12:25:15,17.9
2023-11-05,12:25:25,17.9
2023-11-05,12:25:35,3.0
2023-11-05,12:25:45,17.9
2023-11-05,12:25:56,19.9
2023-11-05,12:26:06,17.9
2023-11-05,12:26:15,17.9
2023-11-05,12:26:26,2.9
2023-11-05,12:26:36,2.9
2023-11-05,12:26:46,17.9
2023-11-05,12:26:56,2.9
